Artist;Title;Year;URL
Nótár Mary;Szoszi van;2014;https://www.youtube.com/watch?v=n0Enm79-2Q0
Open Stage;Aranka Szeretlek;2009;https://www.youtube.com/watch?v=qUZppD_Zd0s
Tudósok;Apa kocsit hajt;1993;https://www.youtube.com/watch?v=ZqokTI5XkN0
Méhek;Barbie dal;1998;https://www.youtube.com/watch?v=faNNYhbk6Jo
KKevin ft. L.L. Junior;Csavargó;2023;https://www.youtube.com/watch?v=xY7qN_R8Oys
DESH, Young Fly, Kkevin;Rollin';2023;https://www.youtube.com/watch?v=q2AQHWwf57Y
Azahriah x DESH;Pullup;2022;https://www.youtube.com/watch?v=5pXMh3KQK6Q
Rúzsa Magdolna;Elmegyek;2023;https://www.youtube.com/watch?v=K1FZ1_TUOio
VALMAR;Playboy;2023;https://www.youtube.com/watch?v=cjSo5KcHMqQ
Wellhello & T.Danny;Disco Club;2023;https://www.youtube.com/watch?v=jh5loMOt2Sc
Curtis & Charlie;Maradunk végig;2023;https://www.youtube.com/watch?v=SHA8BdnSwrA
ByeAlex és a Slepp, Marics Péter;Zokni;2023;https://www.youtube.com/watch?v=3tcvpR27rO4
Manuel;Popstar;2022;https://www.youtube.com/watch?v=v7Up808tsuk
BSW, Kkevin, Lmen Prala, Desh;Kamagra Gang;2023;https://www.youtube.com/watch?v=Xt1ePCjZokM
Tankcsapda;Mennyország tourist;1999;https://www.youtube.com/watch?v=GrFjXxZu83k
T,Danny;Csókkirály;2023;https://www.youtube.com/watch?v=NOIvF4M_cZU
